,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
TERMINATION OF RNA POLYMERASE II TRANSCRIPTION,GOBP,GO:0006369,0,0,0,0,0,0,0,0,0,2.649219016
GAS TRANSPORT,GOBP,GO:0015669,0,0,0,0,0,0,2.257676125,0,0,0
REGULATION OF RECEPTOR-MEDIATED ENDOCYTOSIS,GOBP,GO:0048259,1.811248806,0,0,0,0,0,0,0,0,0
ATRIAL CARDIAC MUSCLE CELL ACTION POTENTIAL,GOBP,GO:0086014,0,0,0,0,0,0,0,0,0,1.388876933
POSITIVE REGULATION OF INTERFERON-BETA PRODUCTION,GOBP,GO:0032728,0,0,0,0,2.304484402,0,0,0,0,0
PROTEIN O-LINKED GLYCOSYLATION,GOBP,GO:0006493,4.272165447,0,0,0,0,0,0,0,0,0
PROTEIN PALMITOYLATION,GOBP,GO:0018345,0,0,2.443305705,0,0,0,0,0,0,0
PIGMENT METABOLIC PROCESS,GOBP,GO:0042440,0,0,0,2.374652222,0,0,0,0,0,0
AORTA DEVELOPMENT,GOBP,GO:0035904,1.457483544,0,0,0,0,0,0,0,0,0
CERAMIDE TRANSPORT,GOBP,GO:0035627,0,0,0,0,0,0,0,0,1.493228863,0
DETECTION OF CHEMICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF TASTE,GOBP,GO:0050912,0,0,0,0,0,1.459361876,0,0,0,0
ZINC ION HOMEOSTASIS,GOBP,GO:0055069,0,0,0,0,0,0,0,0,1.52645411,0
PROTEIN DEACETYLATION,GOBP,GO:0006476,0,0,1.404121965,0,0,0,0,0,0,0
POSITIVE REGULATION OF SYNAPTIC VESICLE TRANSPORT,GOBP,GO:1902805,0,1.524763654,0,0,0,0,0,0,0,0
PRIMARY MIRNA PROCESSING,GOBP,GO:0031053,0,1.604723351,0,0,0,0,0,0,0,0
"NUCLEOTIDE-EXCISION REPAIR, PREINCISION COMPLEX STABILIZATION",GOBP,GO:0006293,0,0,1.795060974,0,0,0,0,0,0,0
MONOVALENT INORGANIC ANION HOMEOSTASIS,GOBP,GO:0055083,0,0,0,1.710854021,0,0,0,0,0,0
PHOSPHATIDYLCHOLINE BIOSYNTHETIC PROCESS,GOBP,GO:0006656,0,0,0,0,0,1.680138317,0,0,0,0
NEGATIVE REGULATION OF INTERLEUKIN-2 PRODUCTION,GOBP,GO:0032703,0,0,0,0,0,0,1.958707769,0,0,0
POSITIVE REGULATION OF VIRAL GENOME REPLICATION,GOBP,GO:0045070,0,0,0,0,0,0,1.697148946,0,0,0
POSITIVE REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS,GOBP,GO:2000353,0,0,0,0,0,0,0,0,1.443917037,0
RESPONSE TO NICOTINE,GOBP,GO:0035094,0,1.614628412,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF MUSCLE CELL DIFFERENTIATION,GOBP,GO:0051149,2.283080136,0,0,0,0,0,0,0,0,0
CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0005975,0,0,0,0,0,0,0,0,1.853922324,0
LIVER REGENERATION,GOBP,GO:0097421,0,0,0,0,0,1.78003021,0,0,0,0
CDP-DIACYLGLYCEROL METABOLIC PROCESS,GOBP,GO:0046341,0,0,0,0,0,0,0,0,0,1.449210504
POSTSYNAPTIC DENSITY ORGANIZATION,GOBP,GO:0097106,0,0,1.495487512,0,0,0,0,0,0,0
SMAD PROTEIN SIGNAL TRANSDUCTION,GOBP,GO:0060395,0,1.790054857,0,0,0,0,0,0,0,0
INTERNAL PEPTIDYL-LYSINE ACETYLATION,GOBP,GO:0018393,0,0,0,2.108127098,0,0,0,0,0,0
NEGATIVE REGULATION OF PROTEIN KINASE ACTIVITY,GOBP,GO:0006469,0,0,0,0,0,2.389709047,0,0,0,0
REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS,GOBP,GO:0032434,0,0,0,0,0,0,0,2.587981669,0,0
REGULATION OF LIPOPROTEIN PARTICLE CLEARANCE,GOBP,GO:0010984,3.09798394,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF VASCULOGENESIS,GOBP,GO:2001214,0,0,0,0,0,0,0,0,0,1.515134415
MICROTUBULE-BASED MOVEMENT,GOBP,GO:0007018,1.496153754,0,0,0,0,0,0,0,0,0
PROTEIN TRANSMEMBRANE TRANSPORT,GOBP,GO:0071806,0,0,1.370235629,0,0,0,0,0,0,0
REGULATION OF LYMPHOCYTE DIFFERENTIATION,GOBP,GO:0045619,0,0,0,0,2.25388731,0,0,0,0,0
POSITIVE REGULATION OF MUSCLE CELL APOPTOTIC PROCESS,GOBP,GO:0010661,0,0,1.594599282,0,0,0,0,0,0,0
POSITIVE REGULATION OF RNA SPLICING,GOBP,GO:0033120,0,0,1.523804813,0,0,0,0,0,0,0
CELLULAR RESPONSE TO DSRNA,GOBP,GO:0071359,0,0,0,0,1.77199666,0,0,0,0,0
QUINONE METABOLIC PROCESS,GOBP,GO:1901661,0,0,0,0,0,0,0,0,1.653135387,0
POSITIVE REGULATION OF CYTOPLASMIC TRANSLATION,GOBP,GO:2000767,0,0,0,0,0,0,0,0,0,1.515134415
TRANSCYTOSIS,GOBP,GO:0045056,0,0,3.471641296,0,0,0,0,0,0,0
"RNA PHOSPHODIESTER BOND HYDROLYSIS, ENDONUCLEOLYTIC",GOBP,GO:0090502,0,0,0,0,1.332948637,0,0,0,0,0
MAINTENANCE OF PROTEIN LOCALIZATION IN ENDOPLASMIC RETICULUM,GOBP,GO:0035437,0,0,1.577084143,0,0,0,0,0,0,0
BONE RESORPTION,GOBP,GO:0045453,0,0,0,0,0,0,0,0,0,1.914335861
INORGANIC ANION TRANSPORT,GOBP,GO:0015698,0,0,1.658357994,0,0,0,0,0,0,0
DNA REPLICATION,GOBP,GO:0006260,0,0,0,0,0,0,0,1.592540926,0,0
REGULATION OF GLUTAMATE RECEPTOR SIGNALING PATHWAY,GOBP,GO:1900449,0,0,1.399967842,0,0,0,0,0,0,0
T CELL MEDIATED IMMUNITY,GOBP,GO:0002456,0,1.529267464,0,0,0,0,0,0,0,0
PEPTIDYL-ARGININE MODIFICATION,GOBP,GO:0018195,0,0,0,0,0,0,0,1.480518415,0,0
SOCIAL BEHAVIOR,GOBP,GO:0035176,0,1.408549401,0,0,0,0,0,0,0,0
CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN CELL-CELL SIGNALING,GOBP,GO:1905114,0,0,3.001923104,0,0,0,0,0,0,0
POSITIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION,GOBP,GO:1902808,0,1.614628412,0,0,0,0,0,0,0,0
GLYCOSPHINGOLIPID BIOSYNTHETIC PROCESS,GOBP,GO:0006688,1.569726338,0,0,0,0,0,0,0,0,0
REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL BY SARCOPLASMIC RETICULUM,GOBP,GO:0010880,0,0,0,0,1.603175989,0,0,0,0,0
NEGATIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION,GOBP,GO:0045841,0,0,0,0,0,3.229063833,0,0,0,0
REGULATION OF ER TO GOLGI VESICLE-MEDIATED TRANSPORT,GOBP,GO:0060628,0,0,2.129983407,0,0,0,0,0,0,0
BASIC AMINO ACID TRANSPORT,GOBP,GO:0015802,0,0,0,1.327645269,0,0,0,0,0,0
NEGATIVE REGULATION OF LEUKOCYTE DIFFERENTIATION,GOBP,GO:1902106,0,0,0,0,0,0,0,0,2.069133338,0
NEGATIVE REGULATION OF DEFENSE RESPONSE,GOBP,GO:0031348,0,0,0,0,0,0,1.45889539,0,0,0
EMBRYONIC SKELETAL SYSTEM MORPHOGENESIS,GOBP,GO:0048704,1.653135388,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION,GOBP,GO:0033138,0,1.753891326,0,0,0,0,0,0,0,0
DIVALENT METAL ION TRANSPORT,GOBP,GO:0070838,0,2.266796102,0,0,0,0,0,0,0,0
PYRIMIDINE-CONTAINING COMPOUND TRANSMEMBRANE TRANSPORT,GOBP,GO:0072531,0,0,0,0,0,0,0,0,1.603253672,0
NEGATIVE REGULATION OF INFLAMMATORY RESPONSE,GOBP,GO:0050728,0,0,0,0,0,0,1.336910295,0,0,0
REGULATION OF ADAPTIVE IMMUNE RESPONSE,GOBP,GO:0002819,0,0,0,0,0,0,0,0,0,1.327741662
SMOOTH MUSCLE CONTRACTION,GOBP,GO:0006939,0,2.237707479,0,0,0,0,0,0,0,0
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT,GOBP,GO:0021954,0,2.906758603,0,0,0,0,0,0,0,0
SPHINGOLIPID MEDIATED SIGNALING PATHWAY,GOBP,GO:0090520,0,0,0,0,0,0,0,0,1.546167178,0
CHAPERONE-MEDIATED PROTEIN FOLDING,GOBP,GO:0061077,0,0,0,0,1.740488659,0,0,0,0,0
NEGATIVE REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS,GOBP,GO:1903427,0,1.488013348,0,0,0,0,0,0,0,0
ENAMEL MINERALIZATION,GOBP,GO:0070166,1.553987426,0,0,0,0,0,0,0,0,0
RESPIRATORY TUBE DEVELOPMENT,GOBP,GO:0030323,2.688848477,0,0,0,0,0,0,0,0,0
DENDRITIC CELL MIGRATION,GOBP,GO:0036336,0,0,0,3.012830666,0,0,0,0,0,0
REGULATION OF INTERLEUKIN-17 PRODUCTION,GOBP,GO:0032660,0,0,0,0,0,0,1.742790807,0,0,0
NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,GOBP,GO:1900077,0,0,0,0,1.350610935,0,0,0,0,0
NEGATIVE REGULATION OF NECROPTOTIC PROCESS,GOBP,GO:0060546,0,0,0,0,0,0,0,0,0,1.449210504
NONRIBOSOMAL PEPTIDE BIOSYNTHETIC PROCESS,GOBP,GO:0019184,0,0,0,0,0,0,0,0,1.397802534,0
PLACENTA BLOOD VESSEL DEVELOPMENT,GOBP,GO:0060674,0,0,0,0,0,0,0,1.400492271,0,0
CELLULAR RESPONSE TO BMP STIMULUS,GOBP,GO:0071773,0,0,0,1.346450085,0,0,0,0,0,0
CRANIAL SKELETAL SYSTEM DEVELOPMENT,GOBP,GO:1904888,0,0,0,0,0,0,0,0,1.544773967,0
NEGATIVE REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE,GOBP,GO:1902100,0,0,0,0,0,3.132733506,0,0,0,0
"NUCLEOTIDE-EXCISION REPAIR, DNA DAMAGE RECOGNITION",GOBP,GO:0000715,0,0,1.657531104,0,0,0,0,0,0,0
INSULIN-LIKE GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0048009,0,0,1.765009967,0,0,0,0,0,0,0
REGULATION OF CENTRIOLE REPLICATION,GOBP,GO:0046599,0,0,0,0,1.77199666,0,0,0,0,0
POSITIVE REGULATION OF PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS,GOBP,GO:1903052,0,0,1.621865082,0,0,0,0,0,0,0
REGULATION OF LIPOPOLYSACCHARIDE-MEDIATED SIGNALING PATHWAY,GOBP,GO:0031664,0,0,0,0,0,0,0,0,2.067375828,0
"RNA PHOSPHODIESTER BOND HYDROLYSIS, EXONUCLEOLYTIC",GOBP,GO:0090503,0,0,0,0,0,0,0,3.994927967,0,0
VENTRICULAR CARDIAC MUSCLE CELL DIFFERENTIATION,GOBP,GO:0055012,1.481727122,0,0,0,0,0,0,0,0,0
MESONEPHRIC EPITHELIUM DEVELOPMENT,GOBP,GO:0072163,1.449464352,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO RETINOIC ACID,GOBP,GO:0071300,1.711602714,0,0,0,0,0,0,0,0,0
SIGNAL TRANSDUCTION IN ABSENCE OF LIGAND,GOBP,GO:0038034,0,1.410724849,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO CARBOHYDRATE STIMULUS,GOBP,GO:0071322,0,0,2.992161408,0,0,0,0,0,0,0
REGULATION OF TRANSCRIPTION OF NUCLEOLAR LARGE RRNA BY RNA POLYMERASE I,GOBP,GO:1901836,0,0,0,0,0,0,0,0,0,1.388876933
TRANSLESION SYNTHESIS,GOBP,GO:0019985,0,1.681506237,0,0,0,0,0,0,0,0
REGULATION OF OSSIFICATION,GOBP,GO:0030278,0,0,0,0,0,1.447465968,0,0,0,0
REGULATION OF T-HELPER 1 CELL DIFFERENTIATION,GOBP,GO:0045625,0,0,0,0,2.451300042,0,0,0,0,0
ASYMMETRIC CELL DIVISION,GOBP,GO:0008356,0,0,0,0,0,0,0,0,1.546167178,0
REGULATION OF B CELL APOPTOTIC PROCESS,GOBP,GO:0002902,2.054524828,0,0,0,0,0,0,0,0,0
PROTEIN K11-LINKED DEUBIQUITINATION,GOBP,GO:0035871,0,0,0,0,0,0,0,0,0,1.668171877
REGULATION OF PEPTIDE SECRETION,GOBP,GO:0002791,0,1.396669154,0,0,0,0,0,0,0,0
T CELL MIGRATION,GOBP,GO:0072678,0,0,0,0,0,0,0,0,1.88092342,0
PEPTIDYL-THREONINE MODIFICATION,GOBP,GO:0018210,0,0,1.38355243,0,0,0,0,0,0,0
SYNAPSIS,GOBP,GO:0007129,0,0,0,0,0,0,1.47004212,0,0,0
CONTRACTILE ACTIN FILAMENT BUNDLE ASSEMBLY,GOBP,GO:0030038,0,0,2.906911743,0,0,0,0,0,0,0
POSITIVE REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY,GOBP,GO:0120034,0,0,1.525877715,0,0,0,0,0,0,0
THIOESTER METABOLIC PROCESS,GOBP,GO:0035383,0,0,0,0,0,0,0,0,1.529035213,0
POSITIVE REGULATION OF GLYCOGEN METABOLIC PROCESS,GOBP,GO:0070875,2.054524828,0,0,0,0,0,0,0,0,0
ADENYLATE CYCLASE-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY,GOBP,GO:0007189,0,0,0,0,0,0,0,0,0,1.457894933
NEUROTRANSMITTER BIOSYNTHETIC PROCESS,GOBP,GO:0042136,0,0,0,1.832605121,0,0,0,0,0,0
POST-EMBRYONIC ANIMAL MORPHOGENESIS,GOBP,GO:0009886,0,1.452757058,0,0,0,0,0,0,0,0
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II,GOBP,GO:0002504,0,1.357638233,0,0,0,0,0,0,0,0
REGULATION OF VASCULAR SMOOTH MUSCLE CELL PROLIFERATION,GOBP,GO:1904705,0,0,0,0,0,1.332880381,0,0,0,0
POSITIVE REGULATION OF ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE,GOBP,GO:1900103,0,0,1.666463967,0,0,0,0,0,0,0
PROTEIN INSERTION INTO ER MEMBRANE,GOBP,GO:0045048,0,0,0,1.455943814,0,0,0,0,0,0
REGULATION OF MEMBRANE LIPID METABOLIC PROCESS,GOBP,GO:1905038,0,0,0,0,0,0,0,0,1.397802534,0
REGULATION OF TRANSCRIPTION ELONGATION FROM RNA POLYMERASE II PROMOTER,GOBP,GO:0034243,0,2.138973812,0,0,0,0,0,0,0,0
ESTABLISHMENT OF EPITHELIAL CELL APICAL/BASAL POLARITY,GOBP,GO:0045198,0,0,0,0,0,0,0,0,1.443917037,0
RESPONSE TO VIRUS,GOBP,GO:0009615,0,0,0,0,0,0,0,1.531065326,0,0
NEGATIVE REGULATION OF PROTEIN SUMOYLATION,GOBP,GO:0033234,1.634201983,0,0,0,0,0,0,0,0,0
ETHANOL CATABOLIC PROCESS,GOBP,GO:0006068,0,0,0,0,0,0,2.659412962,0,0,0
REGULATION OF CARDIAC MUSCLE CELL CONTRACTION,GOBP,GO:0086004,0,0,0,0,0,1.634761574,0,0,0,0
LIPID LOCALIZATION,GOBP,GO:0010876,2.993340327,0,0,0,0,0,0,0,0,0
"DNA-TEMPLATED TRANSCRIPTION, ELONGATION",GOBP,GO:0006354,0,1.330982926,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO ESTROGEN STIMULUS,GOBP,GO:0071391,0,0,1.420581801,0,0,0,0,0,0,0
FOREBRAIN GENERATION OF NEURONS,GOBP,GO:0021872,0,1.677830137,0,0,0,0,0,0,0,0
OUTFLOW TRACT SEPTUM MORPHOGENESIS,GOBP,GO:0003148,0,0,0,2.730652611,0,0,0,0,0,0
POSITIVE REGULATION OF SYNCYTIUM FORMATION BY PLASMA MEMBRANE FUSION,GOBP,GO:0060143,0,0,0,0,1.735066904,0,0,0,0,0
SULFUR COMPOUND CATABOLIC PROCESS,GOBP,GO:0044273,0,0,0,0,0,0,0,0,0,1.362040643
GLUCOCORTICOID METABOLIC PROCESS,GOBP,GO:0008211,0,0,1.495487512,0,0,0,0,0,0,0
EMBRYONIC SKELETAL JOINT DEVELOPMENT,GOBP,GO:0072498,0,0,0,1.484598306,0,0,0,0,0,0
REGULATION OF ION TRANSMEMBRANE TRANSPORTER ACTIVITY,GOBP,GO:0032412,0,0,1.421474525,0,0,0,0,0,0,0
REGULATION OF BLOOD VESSEL SIZE,GOBP,GO:0050880,0,0,0,2.312825168,0,0,0,0,0,0
ENDOPLASMIC RETICULUM MANNOSE TRIMMING,GOBP,GO:1904380,0,1.882426504,0,0,0,0,0,0,0,0
REGULATION OF TRIGLYCERIDE CATABOLIC PROCESS,GOBP,GO:0010896,0,1.327561213,0,0,0,0,0,0,0,0
RECIPROCAL MEIOTIC RECOMBINATION,GOBP,GO:0007131,0,0,0,0,0,0,2.354596119,0,0,0
VIRAL GENOME REPLICATION,GOBP,GO:0019079,0,0,2.08703644,0,0,0,0,0,0,0
MUCOPOLYSACCHARIDE METABOLIC PROCESS,GOBP,GO:1903510,0,0,0,0,0,0,2.400000612,0,0,0
PYRIDINE NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0019362,0,0,1.362863486,0,0,0,0,0,0,0
PROTEIN AUTO-ADP-RIBOSYLATION,GOBP,GO:0070213,0,0,0,0,0,0,0,0,0,1.515134415
SEMAPHORIN-PLEXIN SIGNALING PATHWAY,GOBP,GO:0071526,0,0,0,1.394409065,0,0,0,0,0,0
L-CYSTEINE METABOLIC PROCESS,GOBP,GO:0046439,0,0,0,0,0,0,0,1.489421267,0,0
POSITIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY,GOBP,GO:0045880,0,0,0,0,0,0,0,0,1.653135387,0
POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS,GOBP,GO:0090026,0,0,0,0,0,2.148930506,0,0,0,0
REGULATION OF OLIGODENDROCYTE DIFFERENTIATION,GOBP,GO:0048713,0,0,0,0,1.350610935,0,0,0,0,0
ISOPRENOID BIOSYNTHETIC PROCESS,GOBP,GO:0008299,0,0,0,0,1.603175989,0,0,0,0,0
LACTATION,GOBP,GO:0007595,0,0,0,0,0,0,0,0,1.389195064,0
PHOSPHOLIPID EFFLUX,GOBP,GO:0033700,1.481727122,0,0,0,0,0,0,0,0,0
REGENERATION,GOBP,GO:0031099,0,0,0,0,0,1.778133416,0,0,0,0
REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION,GOBP,GO:0051480,1.35993928,0,0,0,0,0,0,0,0,0
GLYCOSPHINGOLIPID CATABOLIC PROCESS,GOBP,GO:0046479,0,1.387365162,0,0,0,0,0,0,0,0
MODIFIED AMINO ACID TRANSPORT,GOBP,GO:0072337,2.050098618,0,0,0,0,0,0,0,0,0
REGULATION OF MONOCYTE DIFFERENTIATION,GOBP,GO:0045655,0,1.882426504,0,0,0,0,0,0,0,0
LABYRINTHINE LAYER DEVELOPMENT,GOBP,GO:0060711,0,0,0,0,0,0,0,0,1.364100375,0
CELL RECOGNITION,GOBP,GO:0008037,0,0,0,0,0,0,1.318082405,0,0,0
ALPHA-BETA T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,GOBP,GO:0002287,0,0,0,0,0,0,1.843214621,0,0,0
SYNAPTIC VESICLE EXOCYTOSIS,GOBP,GO:0016079,0,0,1.780828037,0,0,0,0,0,0,0
NEGATIVE REGULATION OF ERBB SIGNALING PATHWAY,GOBP,GO:1901185,0,1.382172957,0,0,0,0,0,0,0,0
LIPID TRANSPORT,GOBP,GO:0006869,2.677207571,0,0,0,0,0,0,0,0,0
MESONEPHROS DEVELOPMENT,GOBP,GO:0001823,1.367090266,0,0,0,0,0,0,0,0,0
REGULATION OF HEART RATE,GOBP,GO:0002027,0,0,0,0,0,0,0,0,1.545882235,0
POSITIVE REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY,GOBP,GO:0001961,0,0,0,0,0,0,0,0,0,1.570447387
DOSAGE COMPENSATION,GOBP,GO:0007549,0,0,0,0,0,0,0,0,1.443917037,0
"PROTEIN LOCALIZATION TO CHROMOSOME, CENTROMERIC REGION",GOBP,GO:0071459,0,0,0,0,0,2.107269294,0,0,0,0
NEGATIVE REGULATION OF MRNA METABOLIC PROCESS,GOBP,GO:1903312,0,0,2.556848985,0,0,0,0,0,0,0
NEGATIVE REGULATION BY HOST OF VIRAL PROCESS,GOBP,GO:0044793,0,0,0,0,0,0,0,0,1.806701649,0
NEGATIVE REGULATION OF CARDIAC MUSCLE CELL PROLIFERATION,GOBP,GO:0060044,1.416082676,0,0,0,0,0,0,0,0,0
LENS FIBER CELL DIFFERENTIATION,GOBP,GO:0070306,1.706522059,0,0,0,0,0,0,0,0,0
ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE,GOBP,GO:0002293,0,0,0,0,0,0,1.843214621,0,0,0
CATECHOLAMINE TRANSPORT,GOBP,GO:0051937,0,1.327561213,0,0,0,0,0,0,0,0
SINGLE FERTILIZATION,GOBP,GO:0007338,0,0,0,0,0,0,1.918505257,0,0,0
GLUTAMATE METABOLIC PROCESS,GOBP,GO:0006536,0,0,0,0,0,0,0,0,0,1.496229169
PURINE NUCLEOBASE METABOLIC PROCESS,GOBP,GO:0006144,0,0,0,0,0,0,0,0,1.313792885,0
POSITIVE REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,GOBP,GO:1903055,0,0,0,1.893735141,0,0,0,0,0,0
INNER EAR DEVELOPMENT,GOBP,GO:0048839,0,0,0,0,0,0,0,0,3.507984441,0
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS,GOBP,GO:0002460,0,0,0,0,0,0,1.751907429,0,0,0
MAGNESIUM ION TRANSPORT,GOBP,GO:0015693,0,0,0,1.327645269,0,0,0,0,0,0
VASCULAR PROCESS IN CIRCULATORY SYSTEM,GOBP,GO:0003018,0,0,0,2.287282987,0,0,0,0,0,0
NEGATIVE REGULATION OF MORPHOGENESIS OF AN EPITHELIUM,GOBP,GO:1905331,0,0,0,1.428309154,0,0,0,0,0,0
INTRA-GOLGI VESICLE-MEDIATED TRANSPORT,GOBP,GO:0006891,0,0,0,0,0,0,0,0,0,1.389897187
POSTREPLICATION REPAIR,GOBP,GO:0006301,0,1.356469985,0,0,0,0,0,0,0,0
NUCLEAR DIVISION,GOBP,GO:0000280,0,0,0,0,0,8.049432898,0,0,0,0
NEGATIVE REGULATION OF TELOMERASE ACTIVITY,GOBP,GO:0051974,0,0,0,0,0,0,0,0,1.732605042,0
LUNG DEVELOPMENT,GOBP,GO:0030324,2.774854086,0,0,0,0,0,0,0,0,0
REGULATION OF PROTEIN DEUBIQUITINATION,GOBP,GO:0090085,0,1.452757058,0,0,0,0,0,0,0,0
PROTEIN ACETYLATION,GOBP,GO:0006473,0,0,0,1.704706657,0,0,0,0,0,0
REGULATION OF DENDRITIC CELL DIFFERENTIATION,GOBP,GO:2001198,1.356027339,0,0,0,0,0,0,0,0,0
REGULATION OF T CELL CYTOKINE PRODUCTION,GOBP,GO:0002724,0,0,0,1.424647364,0,0,0,0,0,0
REGULATION OF TRANSFORMING GROWTH FACTOR BETA1 PRODUCTION,GOBP,GO:0032908,0,0,1.874509845,0,0,0,0,0,0,0
POSITIVE REGULATION OF MEMBRANE INVAGINATION,GOBP,GO:1905155,0,0,0,0,0,0,0,0,0,1.449210504
"PROTEIN ALPHA-1,2-DEMANNOSYLATION",GOBP,GO:0036508,0,1.665223319,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF TELOMERE CAPPING,GOBP,GO:1904355,0,0,1.351489056,0,0,0,0,0,0,0
REGULATION OF SMOOTHENED SIGNALING PATHWAY,GOBP,GO:0008589,0,0,0,0,0,0,0,0,1.896558965,0
CELLULAR LIPID CATABOLIC PROCESS,GOBP,GO:0044242,0,0,0,0,0,2.002141965,0,0,0,0
SENSORY PERCEPTION OF TEMPERATURE STIMULUS,GOBP,GO:0050951,1.756786707,0,0,0,0,0,0,0,0,0
REGULATION OF PEPTIDYL-LYSINE ACETYLATION,GOBP,GO:2000756,0,0,1.461632203,0,0,0,0,0,0,0
REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,GOBP,GO:0043281,0,0,0,0,0,0,1.451076718,0,0,0
PORE COMPLEX ASSEMBLY,GOBP,GO:0046931,0,0,0,0,0,0,0,0,0,1.914335861
GLUTAMINE FAMILY AMINO ACID BIOSYNTHETIC PROCESS,GOBP,GO:0009084,0,0,0,0,0,0,0,0,0,2.175848267
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE,GOBP,GO:1903078,0,0,1.703347723,0,0,0,0,0,0,0
CARDIAC SEPTUM DEVELOPMENT,GOBP,GO:0003279,1.55148632,0,0,0,0,0,0,0,0,0
SOMITOGENESIS,GOBP,GO:0001756,0,1.790054857,0,0,0,0,0,0,0,0
TRIVALENT INORGANIC CATION TRANSPORT,GOBP,GO:0072512,0,0,0,0,0,0,0,1.84510222,0,0
MICROTUBULE NUCLEATION,GOBP,GO:0007020,0,0,0,1.999254899,0,0,0,0,0,0
NEGATIVE REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION,GOBP,GO:1904950,0,0,0,0,0,0,0,1.474616414,0,0
CELL GROWTH,GOBP,GO:0016049,0,0,0,2.157586208,0,0,0,0,0,0
NEGATIVE REGULATION OF G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY,GOBP,GO:0045744,1.571472545,0,0,0,0,0,0,0,0,0
MUSCLE CELL CELLULAR HOMEOSTASIS,GOBP,GO:0046716,0,0,0,0,0,0,0,1.831191699,0,0
MICROTUBULE POLYMERIZATION,GOBP,GO:0046785,0,0,0,1.521972172,0,0,0,0,0,0
CELLULAR RESPONSE TO REACTIVE NITROGEN SPECIES,GOBP,GO:1902170,0,0,0,1.327645269,0,0,0,0,0,0
STEROL TRANSPORT,GOBP,GO:0015918,2.040482046,0,0,0,0,0,0,0,0,0
DICARBOXYLIC ACID CATABOLIC PROCESS,GOBP,GO:0043649,0,0,0,0,0,0,0,0,0,2.104138498
BONE CELL DEVELOPMENT,GOBP,GO:0098751,1.865668147,0,0,0,0,0,0,0,0,0
MAGNESIUM ION TRANSMEMBRANE TRANSPORT,GOBP,GO:1903830,0,0,0,1.376165376,0,0,0,0,0,0
REGULATION OF AUTOPHAGOSOME ASSEMBLY,GOBP,GO:2000785,0,0,0,0,0,0,0,2.520304099,0,0
ATRIAL CARDIAC MUSCLE CELL TO AV NODE CELL SIGNALING,GOBP,GO:0086026,0,0,0,0,0,0,0,0,0,1.388876933
